2026-02-13 10:28:28,356 | crypto_trader.data.fetcher | INFO | Fetching BTC/USDT 1h data (days=90)
2026-02-13 10:28:30,215 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 10:28:30,215 | crypto_trader.data.fetcher | INFO | Generating synthetic data for BTC/USDT
2026-02-13 10:28:30,228 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for BTC/USDT
2026-02-13 10:28:30,228 | crypto_trader.data.fetcher | INFO | Fetching ETH/USDT 1h data (days=90)
2026-02-13 10:28:30,520 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 10:28:30,520 | crypto_trader.data.fetcher | INFO | Generating synthetic data for ETH/USDT
2026-02-13 10:28:30,529 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for ETH/USDT
2026-02-13 10:28:30,529 | crypto_trader.data.fetcher | INFO | Fetching SOL/USDT 1h data (days=90)
2026-02-13 10:28:30,773 | crypto_trader.data.fetcher | WARNING | yfinance fetch failed: pyarrow is required for converting a pandas dataframe to Polars, unless each of its columns is a simple numpy-backed one (e.g. 'int64', 'bool', 'float32' - not 'Int64'). Generating synthetic data.
2026-02-13 10:28:30,774 | crypto_trader.data.fetcher | INFO | Generating synthetic data for SOL/USDT
2026-02-13 10:28:30,781 | crypto_trader.data.fetcher | INFO | Fetched 2160 rows for SOL/USDT
2026-02-13 10:28:31,831 | crypto_trader.models.mean_reversion | INFO | Pair BTC/USDT_ETH/USDT: hedge_ratio=-1.0071, cointegrated=True, p=0.0270
2026-02-13 10:28:31,831 | crypto_trader.models.mean_reversion | INFO | Mean reversion model fitted. Half-lives: {'BTC/USDT_ETH/USDT': 91.176885009981}
2026-02-13 10:28:32,021 | crypto_trader.models.momentum | INFO | GARCH fitted: omega=0.164248, alpha=0.0000, beta=0.0002
2026-02-13 10:28:33,881 | crypto_trader.models.ensemble | INFO | Ensemble initialized with models: ['mean_reversion', 'momentum', 'ml_model']
